"doyz","transport","year","n","I(doyz^2)","doyz:transport","I(doyz^2):transport ",".row","SAR","SAR.lo","SAR.hi",".width",".point",".interval","doy","date","TI","TI.lo","TI.hi","sar.pit","rear_type","covariate","species","doyz","transport","year","n","I(doyz^2)","doyz:transport","I(doyz^2):transport ",".row","SAR","SAR.lo","SAR.hi",".width",".point",".interval","doy","date","TI","TI.lo","TI.hi","sar.pit","rear_type","covariate","species"
-2.46352048150792,"0","2003",270,6.068933162809,0,0,11,0.00211756317051323,0.000828424732384662,0.00388134072659091,0.95,"median","qi",90,2003-03-31,NA,0.418203153212424,0.945094765209563,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2003",270,14.8008487287489,0,0,11,0.0020274574327618,1.75324323723059e-05,0.0343610448413509,0.95,"median","qi",90,2003-03-31,NA,0.0159206584373936,0.0619380941929509,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2004",270,6.068933162809,0,0,12,0.0180222339058293,0.00607759579878542,0.0736564665525046,0.95,"median","qi",90,2004-03-30,NA,0.632750474821719,0.490078692276752,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2004",270,14.8008487287489,0,0,12,0.00654214914105194,0.000642711053149377,0.0956278380555466,0.95,"median","qi",90,2004-03-30,NA,0.0198639831729348,0.0966450845172066,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2005",270,6.068933162809,0,0,13,0.00690769385606433,0.00198632726074919,0.020711780584093,0.95,"median","qi",90,2005-03-31,NA,0.373599155680465,0.75725562296988,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2005",270,14.8008487287489,0,0,13,0.00416071491578826,0.00105564070453961,0.028489539285074,0.95,"median","qi",90,2005-03-31,NA,0.0279709909600442,0.057958929005285,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2006",270,6.068933162809,0,0,14,0.00217775822316918,0.00102157083792382,0.0059787442871727,0.95,"median","qi",90,2006-03-31,NA,0.36721134227257,0.260750938199944,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2006",270,14.8008487287489,0,0,14,0.00389572557601524,0.00214495883231475,0.00950797313558371,0.95,"median","qi",90,2006-03-31,NA,0.015933316922776,0.0212507806600488,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2007",270,6.068933162809,0,0,15,0.0145615108477016,0.00769645075077167,0.021284308637602,0.95,"median","qi",90,2007-03-31,NA,0.51707169480804,0.617067636491883,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2007",270,14.8008487287489,0,0,15,0.00290804253192536,0.000338229876328963,0.00942125366787242,0.95,"median","qi",90,2007-03-31,NA,0.0786411822339799,0.0719434808563923,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2008",270,6.068933162809,0,0,16,0.0606715908886872,0.033676294221129,0.0752039429459161,0.95,"median","qi",90,2008-03-30,NA,0.422671673903726,0.456424321123919,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2008",270,14.8008487287489,0,0,16,0.00614461302010227,0.00295615201379227,0.0102159234749927,0.95,"median","qi",90,2008-03-30,NA,0.029534288797332,0.0239700709201549,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2009",270,6.068933162809,0,0,17,0.0368525790076285,0.0172170264479217,0.0597715574607314,0.95,"median","qi",90,2009-03-31,NA,0.760047433752444,0.700845532075097,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2009",270,14.8008487287489,0,0,17,0.00257502008180679,0.000812394833240004,0.0293959840840318,0.95,"median","qi",90,2009-03-31,NA,0.0230429128953974,0.0327275244866508,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2010",270,6.068933162809,0,0,18,0.0263178305605706,0.00415318460475189,0.391424252622878,0.95,"median","qi",90,2010-03-31,NA,0.464899955959672,0.479505478743883,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2010",270,14.8008487287489,0,0,18,0.0408569553087012,0.00195276089373972,0.160776824346726,0.95,"median","qi",90,2010-03-31,NA,0.117521745681818,0.274483816549227,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2011",270,6.068933162809,0,0,19,0.00598848128428274,0.00352241588216261,0.0094678368498105,0.95,"median","qi",90,2011-03-31,NA,0.483504217465078,0.644788899732574,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2011",270,14.8008487287489,0,0,19,0.00259450354812449,0.000174267525906487,0.0231878470290369,0.95,"median","qi",90,2011-03-31,NA,0.0379174962738031,0.0283166621451799,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2012",270,6.068933162809,0,0,20,0.0409333223694727,0.0148084655889525,0.0578262064578016,0.95,"median","qi",90,2012-03-30,NA,0.449291598690163,0.414487986140908,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2012",270,14.8008487287489,0,0,20,0.00262700484614796,0.000620083954795011,0.134401705593152,0.95,"median","qi",90,2012-03-30,NA,0.0162296268530975,0.0526707995320291,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2013",270,6.068933162809,0,0,21,0.0189045031349147,0.00265827690259532,0.138836135926786,0.95,"median","qi",90,2013-03-31,NA,0.6783255613414,0.420332911174209,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2013",270,14.8008487287489,0,0,21,0.00706579022408941,0.00278617141819297,0.00946612488641136,0.95,"median","qi",90,2013-03-31,NA,0.0843561079936939,0.122343792611456,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2014",270,6.068933162809,0,0,22,0.0137381928286667,0.0088967130132884,0.0269151942972982,0.95,"median","qi",90,2014-03-31,NA,0.379230281518595,0.608814680293098,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2014",270,14.8008487287489,0,0,22,0.131146764671919,0.0036585676826556,0.535428865568625,0.95,"median","qi",90,2014-03-31,NA,0.0443802325999657,0.0534918012270841,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2015",270,6.068933162809,0,0,23,0.00547809637640664,0.00153462365394219,0.0183305248347463,0.95,"median","qi",90,2015-03-31,NA,0.871808720334797,1.18709463807811,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2015",270,14.8008487287489,0,0,23,0.00392338116270141,7.6660275936038e-05,0.0469692413578279,0.95,"median","qi",90,2015-03-31,NA,0.253710070393759,0.0718986363237236,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-2.46352048150792,"0","2016",270,6.068933162809,0,0,24,0.00677940047750558,0.00415690731168167,0.0237947663448602,0.95,"median","qi",90,2016-03-30,NA,0.679767663042352,1.13721470806123,NA,"Natural-origin","Day-of-year (DOY)","Chinook",-3.84718711901941,"0","2016",270,14.8008487287489,0,0,24,0.00468989070017335,0.000296249775010504,0.0255145514006207,0.95,"median","qi",90,2016-03-30,NA,0.0225418138542214,0.0514844170741604,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
