"doyz","transport","year","n","I(doyz^2)","doyz:transport","I(doyz^2):transport ",".row","SAR","SAR.lo","SAR.hi",".width",".point",".interval","doy","date","TI","TI.lo","TI.hi","sar.pit","rear_type","covariate","species"
-3.84718711901941,"0","2013",270,14.8008487287489,0,0,21,0.00619187748920721,0.00338044092080709,0.0177228810344295,0.95,"median","qi",90,2013-03-31,NA,0.070389144244279,0.373226509597499,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"0","2014",270,14.8008487287489,0,0,22,0.230932518206383,0.0123126320132106,0.416798490044374,0.95,"median","qi",90,2014-03-31,NA,0.0438091686265274,0.113092837768214,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"0","2015",270,14.8008487287489,0,0,23,0.0108600063508896,0.00357457795100868,0.562703726702295,0.95,"median","qi",90,2015-03-31,NA,0.0692906689664247,0.0393268603013699,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"0","2016",270,14.8008487287489,0,0,24,0.00192686150124161,0.00047526545640362,0.0533574645538213,0.95,"median","qi",90,2016-03-30,NA,0.00553051740009966,0.0155118357977391,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"0","2017",270,14.8008487287489,0,0,25,0.00292881776853768,0.000483629010844673,0.042622520595669,0.95,"median","qi",90,2017-03-31,NA,0.0435472821861022,0.0130190115348069,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"0","2018",270,14.8008487287489,0,0,26,0.000661575036755401,7.94004989793089e-05,0.00344982703982361,0.95,"median","qi",90,2018-03-31,NA,0.0253724926115552,0.041689026127466,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1993",270,14.8008487287489,-3.84718711901941,14.8008487287489,27,2.46761822272381e-05,1.48870695546171e-08,0.00037333900083756,0.95,"median","qi",90,1993-03-31,0.0454465199690487,0.0118390882318865,0.0615526796073342,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1994",270,14.8008487287489,-3.84718711901941,14.8008487287489,28,0.000140144128995925,7.53575044477052e-07,0.00104031088846049,0.95,"median","qi",90,1994-03-31,0.105584455909437,0.00327519754041915,0.0894832280170949,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1995",270,14.8008487287489,-3.84718711901941,14.8008487287489,29,0.000374592155526596,0.000227624394400703,0.000749558259414658,0.95,"median","qi",90,1995-03-31,0.0397113667251131,0.044636171303195,0.0565319347068329,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1996",270,14.8008487287489,-3.84718711901941,14.8008487287489,30,0.00178299917994133,0.00073468374415122,0.00455053728684093,0.95,"median","qi",90,1996-03-30,0.0375847940232997,0.0343360078498825,0.033461602457731,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1997",270,14.8008487287489,-3.84718711901941,14.8008487287489,31,0.00030587395142912,2.82969265030846e-05,0.00324314249523601,0.95,"median","qi",90,1997-03-31,0.0437827885212174,0.0330938691650184,0.0697960222349507,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1998",270,14.8008487287489,-3.84718711901941,14.8008487287489,32,0.0029267342164385,0.00140887664302514,0.0043972939203503,0.95,"median","qi",90,1998-03-31,0.0815670124817444,0.0566491557060386,0.0831647912839773,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","1999",270,14.8008487287489,-3.84718711901941,14.8008487287489,33,0.000264436769493494,0.000174704414559733,0.000470740799389851,0.95,"median","qi",90,1999-03-31,0.0292209451197299,0.022635810680417,0.034603554913783,0,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2000",270,14.8008487287489,-3.84718711901941,14.8008487287489,34,0.000440079434091472,5.58564695821335e-06,0.00207010858599695,0.95,"median","qi",90,2000-03-30,0.0857166143687306,0.0159488370006542,0.0267845381292925,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2001",270,14.8008487287489,-3.84718711901941,14.8008487287489,35,0.000272468095042943,2.88580090322206e-06,0.0021458931128481,0.95,"median","qi",90,2001-03-31,0.0751726032945604,0.00566534103762492,0.0414768760591569,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2002",270,14.8008487287489,-3.84718711901941,14.8008487287489,36,0.000123440168808884,6.49169877298279e-06,0.000492092712031847,0.95,"median","qi",90,2002-03-31,0.0631719656259685,0.0546326400247071,0.0771316954473158,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2003",270,14.8008487287489,-3.84718711901941,14.8008487287489,37,0.000147003252245154,4.49465916460811e-06,0.000828458704677428,0.95,"median","qi",90,2003-03-31,0.0399619783091458,0.00949261550410246,0.0224246792061379,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2004",270,14.8008487287489,-3.84718711901941,14.8008487287489,38,0.00277979040193656,8.23020024884686e-05,0.0164084866125294,0.95,"median","qi",90,2004-03-30,0.101230932354266,0.0419294709176496,0.189812459422774,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2005",270,14.8008487287489,-3.84718711901941,14.8008487287489,39,0.000330702252800263,7.90217257401975e-05,0.00908909314112655,0.95,"median","qi",90,2005-03-31,0.0401267592880404,0.0505548756661481,0.11922880670658,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2006",270,14.8008487287489,-3.84718711901941,14.8008487287489,40,0.000159975140009073,7.92146784805024e-05,0.000326358371565839,0.95,"median","qi",90,2006-03-31,0.0220328622002613,0.0214806237422355,0.018085474773782,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2007",270,14.8008487287489,-3.84718711901941,14.8008487287489,41,0.000237197579942609,5.81984061372381e-05,0.00161993049953164,0.95,"median","qi",90,2007-03-31,0.0523188717798611,0.0822060217132434,0.0690303961597497,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2008",270,14.8008487287489,-3.84718711901941,14.8008487287489,42,0.000179452183254284,7.02378187783681e-05,0.000520106808915263,0.95,"median","qi",90,2008-03-30,0.0298965304581516,0.0240900929580829,0.0368392697065945,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2009",270,14.8008487287489,-3.84718711901941,14.8008487287489,43,0.000425990415831485,4.17624198904996e-05,0.000898871379803708,0.95,"median","qi",90,2009-03-31,0.0404974093765331,0.0288628820203568,0.00604427096203513,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2010",270,14.8008487287489,-3.84718711901941,14.8008487287489,44,0.00131822450684098,0.000408325880528102,0.0373909710453081,0.95,"median","qi",90,2010-03-31,0.116835992699273,0.153243207504867,0.120800917982862,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2011",270,14.8008487287489,-3.84718711901941,14.8008487287489,45,0.000231826476632806,2.69837519424075e-05,0.00215061926883887,0.95,"median","qi",90,2011-03-31,0.0828132729196021,0.0392289166150937,0.0537377706105709,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2012",270,14.8008487287489,-3.84718711901941,14.8008487287489,46,0.000219412287546712,6.24062562814691e-05,0.00146538097895553,0.95,"median","qi",90,2012-03-30,0.0352108524145055,0.146192158701541,0.0315837420807022,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2013",270,14.8008487287489,-3.84718711901941,14.8008487287489,47,0.000854947693494317,0.000237946343583954,0.00661464902849185,0.95,"median","qi",90,2013-03-31,0.138075679789295,0.070389144244279,0.373226509597499,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2014",270,14.8008487287489,-3.84718711901941,14.8008487287489,48,0.0091745038224957,0.000539406172103121,0.0471369240166249,0.95,"median","qi",90,2014-03-31,0.0397280724852119,0.0438091686265274,0.113092837768214,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2015",270,14.8008487287489,-3.84718711901941,14.8008487287489,49,0.00084348078562108,0.000247684897498023,0.0221293708510814,0.95,"median","qi",90,2015-03-31,0.0776685352078076,0.0692906689664247,0.0393268603013699,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2016",270,14.8008487287489,-3.84718711901941,14.8008487287489,50,0.00018324242507282,2.62846387630652e-06,0.00082767222874256,0.95,"median","qi",90,2016-03-30,0.0950989082270544,0.00553051740009966,0.0155118357977391,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2017",270,14.8008487287489,-3.84718711901941,14.8008487287489,51,0.000129638552977341,2.10607290086385e-05,0.000554903087277558,0.95,"median","qi",90,2017-03-31,0.0442630997291673,0.0435472821861022,0.0130190115348069,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.84718711901941,"1","2018",270,14.8008487287489,-3.84718711901941,14.8008487287489,52,3.55236710973309e-05,2.01458857370631e-06,0.000143819929598445,0.95,"median","qi",90,2018-03-31,0.0536956038600724,0.0253724926115552,0.041689026127466,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.73497191227446,"0","1993",270,13.9500151854791,0,0,53,0.000523526889993429,1.53100104980554e-06,0.00476073587471499,0.95,"median","qi",91,1993-04-01,NA,0.0163005130549451,0.0774899797384734,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.73497191227446,"0","1994",270,13.9500151854791,0,0,54,0.0011885418555372,0.000223653387536021,0.00903757732513522,0.95,"median","qi",91,1994-04-01,NA,0.00403470793527736,0.109758801538931,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.73497191227446,"0","1995",270,13.9500151854791,0,0,55,0.00901760882699654,0.00505255941825457,0.0124761135563809,0.95,"median","qi",91,1995-04-01,NA,0.0534273641583411,0.067319772078632,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.73497191227446,"0","1996",270,13.9500151854791,0,0,56,0.0386970500094206,0.018426085870566,0.108447773158164,0.95,"median","qi",91,1996-03-31,NA,0.0402776470801635,0.0389384329236617,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
-3.73497191227446,"0","1997",270,13.9500151854791,0,0,57,0.00679071852862259,0.000874792292698741,0.0399701818654985,0.95,"median","qi",91,1997-04-01,NA,0.0358926456372634,0.0829159198987095,NA,"Hatchery-origin","Day-of-year (DOY)","Chinook"
