
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
1/30,NA,1.111,5.000,5.000,NA,NA,NA,NA,NA,NA,NA,NA,5.021,3.233,3.832,5.802,4.836,4.126,3.436,5.030,4.667,2.800,NA,NA,NA,2.222
1/31,NA,1.667,5.556,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.987,3.342,3.751,6.000,4.729,4.218,3.394,4.975,4.638,2.888,NA,NA,NA,2.778
2/1,NA,1.667,5.556,5.000,NA,NA,NA,NA,NA,NA,NA,NA,4.932,3.457,3.779,5.959,4.665,4.210,3.483,4.808,4.587,3.017,NA,NA,5.556,2.778
2/2,NA,1.667,5.556,3.889,NA,NA,NA,NA,NA,NA,NA,NA,4.949,3.520,3.873,5.873,4.713,4.227,3.687,4.729,4.600,3.017,NA,NA,5.556,2.222
2/3,NA,1.111,5.556,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.938,3.678,3.741,5.898,4.756,4.216,3.800,4.658,4.633,2.958,NA,NA,5.000,2.222
2/4,NA,1.111,5.556,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.963,3.893,3.847,5.761,4.774,4.244,3.845,4.585,4.692,2.942,NA,NA,5.000,2.222
2/5,NA,1.111,5.556,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.904,4.072,4.017,5.630,4.657,4.327,3.798,4.425,4.754,2.775,NA,NA,4.444,2.222
2/6,NA,1.111,5.556,3.889,NA,NA,NA,NA,NA,NA,NA,NA,4.805,4.134,4.054,5.515,4.540,4.380,3.798,4.273,4.950,2.650,NA,NA,4.444,2.778
2/7,NA,1.111,5.556,3.889,NA,NA,NA,NA,NA,NA,NA,NA,4.699,4.153,4.137,5.415,4.605,4.297,3.937,4.305,4.971,2.679,NA,NA,4.444,3.333
2/8,NA,1.667,5.000,4.444,NA,NA,NA,NA,NA,NA,NA,NA,4.647,4.133,4.240,5.398,4.631,4.138,4.008,4.272,4.992,2.738,NA,NA,4.444,3.333
