
mm/dd,2018:BON:tempc (C),2017:BON:tempc (C),2016:BON:tempc (C),2015:BON:tempc (C),2014:BON:tempc (C),2013:BON:tempc (C),2012:BON:tempc (C),2011:BON:tempc (C),2010:BON:tempc (C),2009:BON:tempc (C),2008:BON:tempc (C),2007:BON:tempc (C),2006:BON:tempc (C),2005:BON:tempc (C),2004:BON:tempc (C),2003:BON:tempc (C),2002:BON:tempc (C),2001:BON:tempc (C),2000:BON:tempc (C),1999:BON:tempc (C),1998:BON:tempc (C),1997:BON:tempc (C),1996:BON:tempc (C),1995:BON:tempc (C),1994:BON:tempc (C),1993:BON:tempc (C)
4/29,11.035,10.385,12.028,11.963,10.220,10.843,10.993,9.317,11.268,10.093,9.900,10.963,10.555,11.468,12.160,10.845,10.159,11.184,10.875,10.726,12.077,10.652,10.446,8.250,13.030,11.395
4/30,11.079,10.488,12.102,12.219,10.468,10.695,11.060,9.453,11.263,10.123,9.993,11.115,10.719,11.393,12.155,11.090,10.329,11.190,10.913,10.877,12.363,10.488,10.633,NA,13.388,11.725
5/1,11.246,10.505,12.343,12.570,10.693,10.789,10.976,9.659,11.312,10.143,10.135,11.075,10.781,11.602,12.329,11.333,10.469,10.820,11.135,10.983,12.547,10.239,10.671,NA,13.343,11.978
5/2,11.558,10.542,12.657,12.550,10.902,11.014,11.052,9.872,11.373,10.247,10.215,11.152,11.013,11.908,12.621,11.456,10.572,10.276,11.311,10.919,12.786,10.333,10.575,NA,13.810,11.769
5/3,11.846,10.958,12.962,12.772,10.963,11.323,11.215,9.932,11.420,10.303,10.371,11.365,11.305,12.294,12.910,11.373,10.459,11.284,11.321,10.864,13.022,10.538,10.475,NA,13.670,11.901
5/4,12.084,11.472,13.027,13.016,10.978,11.578,11.179,10.052,11.306,10.353,10.591,11.479,11.618,12.781,13.053,11.313,10.516,11.737,11.420,10.814,13.235,10.600,10.575,NA,14.215,11.927
5/5,12.296,11.700,12.992,13.110,11.167,11.876,10.937,10.165,11.323,10.270,10.922,11.453,11.827,12.879,13.021,11.283,10.371,11.938,11.638,10.838,13.612,10.988,10.667,NA,13.935,12.132
5/6,12.495,11.669,13.243,13.233,11.447,12.140,10.869,10.358,11.194,10.345,11.058,11.564,11.783,12.860,13.019,11.438,10.273,12.135,11.826,10.856,13.915,10.925,10.758,NA,14.254,12.230
5/7,12.789,11.710,13.673,13.217,11.751,12.417,10.902,10.462,11.289,10.319,10.925,11.953,11.663,12.991,13.094,11.441,10.235,12.467,12.105,10.810,14.103,10.954,10.629,NA,14.638,12.208
5/8,12.807,12.050,13.848,13.281,11.958,12.774,11.053,10.460,11.427,10.359,10.827,12.403,11.581,13.180,13.430,11.625,10.491,12.740,12.238,10.860,14.129,11.096,10.583,NA,15.046,12.172
5/9,12.737,12.194,13.780,13.581,12.002,12.978,10.991,10.565,11.623,10.626,11.037,12.381,11.671,13.211,13.694,11.593,10.693,13.239,12.279,10.662,NA,11.313,10.754,NA,15.596,12.203
5/10,12.684,12.224,13.839,14.001,12.043,13.236,10.802,10.965,11.725,10.883,11.293,12.285,11.924,13.098,13.766,11.626,10.766,12.938,12.090,10.610,NA,11.683,10.996,NA,15.117,12.433
5/11,12.559,12.275,14.222,14.018,12.310,13.540,10.958,11.151,11.743,11.068,11.439,12.372,12.237,13.375,13.585,11.833,11.077,13.207,11.899,10.786,13.495,11.971,11.263,NA,16.233,12.588
5/12,12.705,12.244,14.599,13.945,12.458,13.918,11.313,11.381,11.765,11.034,11.401,12.475,12.333,13.511,13.651,11.900,11.354,13.508,11.932,10.895,13.250,11.963,11.404,NA,17.493,12.800
5/13,12.818,12.294,14.750,13.996,12.590,14.116,11.685,11.598,11.993,10.993,11.430,12.386,12.385,13.672,13.861,12.232,11.497,13.637,12.163,10.853,13.028,12.125,11.538,NA,17.200,12.867
5/14,12.865,12.444,14.771,13.943,12.736,13.989,12.119,11.820,12.482,11.120,11.765,12.563,12.620,13.755,14.034,12.439,11.430,13.660,12.353,10.876,13.101,12.552,11.938,NA,17.676,13.017
5/15,13.281,12.477,14.677,14.056,13.007,13.942,12.622,11.845,12.897,11.488,12.289,13.048,12.894,13.819,14.043,12.298,11.244,13.520,12.690,11.004,12.986,13.046,12.017,NA,16.500,13.408
5/16,13.479,12.171,14.615,14.179,13.269,14.007,12.763,11.754,13.167,11.924,12.697,13.409,13.203,13.794,14.050,12.138,11.845,13.384,12.835,11.232,12.853,13.292,12.117,NA,17.365,13.613
5/17,13.451,11.766,14.682,14.519,13.381,14.086,12.685,11.983,13.207,12.290,12.840,13.507,13.506,13.915,14.093,12.064,12.058,13.255,12.786,11.338,12.584,13.329,12.279,NA,17.676,13.863
5/18,13.551,11.936,15.064,14.882,13.400,13.925,12.816,12.075,13.124,12.671,13.123,13.652,13.815,13.985,14.053,12.050,12.320,13.469,12.786,11.491,12.482,13.357,12.300,13.250,17.871,14.035
5/19,13.610,12.236,15.114,15.053,13.631,13.860,13.152,12.172,13.205,12.775,13.205,13.800,14.032,14.025,14.035,12.183,12.561,13.748,13.088,11.678,12.454,13.505,12.325,13.346,17.729,14.037
5/20,13.755,12.481,15.005,15.221,13.939,13.894,13.514,12.261,13.199,12.702,13.353,13.849,14.310,14.045,14.273,12.495,12.667,13.946,13.427,12.050,12.473,13.514,12.429,13.721,17.767,14.150
5/21,13.779,12.735,14.784,15.363,14.134,13.946,13.665,12.228,13.149,12.875,13.257,13.596,14.599,13.984,14.155,12.765,12.837,14.383,13.721,12.284,12.387,13.224,12.388,14.071,17.843,14.091
5/22,13.954,12.938,14.825,15.368,14.261,13.628,13.571,12.305,12.964,13.290,13.246,13.636,14.733,13.848,13.981,13.023,12.990,14.963,14.058,12.617,12.362,13.191,12.350,14.396,18.122,14.221
5/23,14.165,13.181,14.876,15.185,14.288,13.368,13.519,12.385,12.891,13.682,13.065,13.750,14.770,13.909,14.052,13.194,12.967,15.363,14.306,12.965,12.612,12.875,12.250,14.492,17.676,14.513
5/24,14.558,13.125,14.973,15.090,14.308,13.460,13.520,12.414,12.765,13.800,12.903,13.960,14.878,13.961,14.458,13.301,13.172,15.851,14.701,13.478,12.848,12.827,12.517,14.542,16.825,14.661
5/25,14.656,13.198,15.000,15.296,14.261,13.693,13.405,12.264,13.024,13.885,12.953,14.077,14.955,14.048,14.618,13.468,13.490,16.153,14.740,13.770,12.942,12.786,12.671,14.796,17.764,14.605
5/26,14.404,13.624,15.033,15.580,14.398,13.663,13.292,11.879,13.225,14.156,12.952,14.328,14.781,14.218,14.688,13.549,13.708,16.410,14.685,13.707,13.021,12.895,12.725,15.063,17.859,14.604
5/27,14.591,13.963,14.956,16.098,14.451,13.584,13.096,11.933,13.294,14.320,13.260,14.357,14.492,14.451,14.786,13.485,13.733,16.278,14.764,13.873,12.976,13.120,12.467,15.179,17.555,14.703
5/28,14.811,14.201,14.974,16.628,14.461,13.406,13.070,12.050,13.205,14.483,13.394,14.304,14.161,14.733,14.501,13.867,13.669,15.931,14.918,14.167,13.208,13.082,12.300,15.500,17.222,14.554
5/29,14.834,14.373,15.019,16.909,14.503,13.443,13.203,12.249,13.012,14.870,13.175,14.382,13.887,14.872,14.342,14.130,13.720,15.724,14.977,14.448,13.536,13.360,12.342,15.813,15.556,14.471
5/30,14.705,14.347,15.250,17.029,14.643,13.587,13.350,12.443,13.197,15.252,13.126,14.766,13.811,15.004,14.486,14.304,13.968,15.767,14.964,14.720,13.507,13.546,12.567,16.042,15.556,14.721
5/31,14.830,14.479,15.587,17.252,14.765,13.855,13.458,12.642,13.549,15.380,13.151,15.266,13.753,15.106,14.537,14.367,14.251,15.968,14.705,14.890,13.763,13.813,12.667,16.058,14.839,14.821
6/1,14.986,14.831,15.890,17.292,14.775,13.996,13.743,12.623,13.851,15.355,13.073,15.616,13.714,15.201,14.665,14.624,14.515,16.420,14.660,14.845,13.955,13.988,13.029,16.121,15.556,14.828
6/2,15.206,15.077,16.081,17.145,14.842,14.240,13.992,12.681,14.005,15.337,13.070,15.833,13.771,15.214,14.869,14.663,14.496,16.352,15.093,14.668,13.834,14.117,13.313,16.292,16.111,14.867
6/3,15.395,15.051,16.412,17.367,14.927,14.497,14.031,12.803,13.905,15.463,13.151,16.022,14.025,15.210,15.154,14.765,14.689,16.304,15.192,14.508,13.973,14.329,13.546,16.467,13.883,14.975
6/4,15.226,14.814,16.695,17.621,14.993,14.757,14.072,13.045,13.887,15.575,13.273,16.202,14.359,15.234,15.346,14.962,14.890,16.317,15.431,14.456,14.121,14.383,13.629,16.454,16.667,15.119
6/5,15.186,14.591,17.125,17.977,15.124,15.035,14.033,13.128,14.070,15.429,13.446,16.181,14.862,15.299,15.514,15.441,14.941,16.214,15.612,14.302,14.422,14.554,13.829,16.376,16.667,15.079
6/6,15.330,14.763,17.689,18.318,15.325,15.460,13.987,13.128,14.403,15.458,13.440,15.837,15.136,15.343,15.346,15.865,14.576,16.023,15.532,13.994,14.743,14.663,14.242,NA,16.111,15.175
6/7,15.478,15.049,18.051,18.620,15.541,15.686,14.115,13.266,14.417,15.434,13.360,15.668,15.407,15.413,15.227,15.990,14.295,16.350,15.473,13.689,15.085,14.721,14.567,NA,16.111,15.158
6/8,15.614,15.154,18.032,18.881,15.827,15.693,14.128,13.297,14.491,15.548,13.354,15.894,15.499,15.510,15.270,16.065,14.244,16.815,15.379,13.517,15.313,14.738,14.721,NA,15.556,15.305
6/9,15.688,14.956,17.615,19.121,16.066,15.962,13.791,13.606,14.401,15.850,13.303,16.134,15.459,15.899,15.375,16.041,14.502,17.059,15.440,13.552,15.518,14.908,14.704,NA,16.111,15.404
6/10,15.630,14.867,17.445,18.903,16.130,16.213,13.625,13.911,14.436,15.990,13.072,16.108,15.737,16.031,15.518,15.966,14.569,16.999,15.384,13.750,15.829,15.013,14.858,NA,16.667,15.490
6/11,15.633,14.875,17.434,18.551,16.263,16.299,13.783,14.063,14.636,16.070,12.923,15.953,15.959,15.953,15.309,16.091,14.806,16.930,15.370,14.003,16.105,14.988,15.008,NA,16.667,15.601
6/12,15.808,14.856,17.601,18.438,16.413,16.362,13.957,14.153,15.117,16.039,13.087,16.060,16.060,15.751,15.175,16.262,14.798,16.134,15.410,14.223,16.443,14.878,15.221,NA,16.111,15.733
6/13,15.898,14.719,17.686,18.416,16.394,16.509,14.193,14.164,15.281,16.213,13.393,16.126,16.115,15.913,15.143,16.388,14.930,15.783,15.615,14.382,16.762,14.708,15.292,NA,16.111,15.933
6/14,15.799,14.777,17.720,18.863,16.151,16.664,14.203,14.414,14.937,16.350,13.478,16.134,16.133,15.996,15.100,16.430,15.008,16.011,16.128,14.783,16.808,14.863,15.204,NA,16.195,16.129
6/15,15.941,14.932,17.735,19.218,16.025,16.935,14.460,14.326,14.638,16.507,13.592,16.027,16.172,16.139,15.167,16.568,15.162,16.075,16.409,14.854,16.718,15.175,15.183,NA,16.304,16.261
6/16,16.050,15.034,17.499,19.453,15.918,17.207,14.795,14.220,14.495,16.494,13.903,15.867,16.262,16.383,15.403,16.793,15.212,16.360,16.387,15.145,16.622,15.467,15.108,NA,16.875,16.354
6/17,16.320,15.201,17.505,19.414,15.903,17.280,15.214,14.195,14.503,16.620,14.156,15.923,16.224,16.409,15.816,17.170,15.175,16.499,16.533,15.378,16.739,15.642,14.850,NA,17.265,16.613
6/18,16.603,15.535,17.456,19.638,15.876,17.407,15.261,14.116,14.933,16.878,14.480,15.831,16.213,16.685,16.173,17.278,15.384,16.429,16.645,15.684,16.669,15.867,14.909,NA,17.591,16.892
6/19,16.823,16.005,17.444,19.665,16.067,17.158,15.213,14.101,15.081,17.043,14.920,16.067,16.192,16.888,16.508,17.103,15.564,16.677,16.485,16.000,16.519,15.800,15.129,NA,17.250,17.192
6/20,17.295,16.238,17.780,19.666,16.257,16.830,15.500,14.282,15.110,17.032,15.299,16.431,16.198,17.273,16.890,16.739,15.780,17.034,16.508,16.110,16.820,15.683,15.204,NA,17.917,17.358
6/21,17.541,16.261,17.781,19.768,16.193,16.756,15.818,14.702,15.180,16.860,15.431,16.793,16.325,17.530,17.251,16.465,16.043,17.318,16.696,16.203,17.214,15.638,15.163,NA,19.230,17.194
6/22,17.758,16.441,17.848,19.883,16.165,17.115,15.734,15.019,15.304,16.660,15.483,16.990,16.568,17.507,17.551,16.344,16.359,17.565,16.924,16.334,17.488,15.558,15.188,NA,18.733,16.796
6/23,17.894,16.799,17.761,19.866,16.407,17.277,15.522,14.952,15.541,16.684,15.634,16.952,16.683,17.659,17.661,16.405,16.519,17.597,16.978,16.573,17.657,15.735,15.229,NA,18.317,16.875
6/24,18.178,17.225,17.698,20.071,16.663,17.229,15.613,14.965,15.803,17.087,15.649,16.794,17.004,17.624,17.967,16.567,16.582,17.549,17.163,16.805,17.695,16.129,15.317,NA,19.016,17.150
6/25,18.276,17.588,17.708,20.361,16.857,17.046,15.688,15.185,16.085,17.262,15.790,16.783,17.475,17.610,18.113,16.860,16.628,17.346,17.568,16.640,17.481,16.379,15.688,NA,18.673,17.550
6/26,18.381,17.821,18.088,20.705,16.940,16.973,15.721,15.306,16.191,17.218,15.848,17.039,17.868,17.752,18.207,17.194,16.887,17.384,18.053,16.448,17.393,16.579,16.013,NA,17.740,17.979
6/27,18.416,17.831,18.473,21.099,17.122,17.005,15.901,15.453,16.284,17.137,16.204,17.303,18.203,17.782,18.283,17.504,17.045,17.485,18.484,16.465,17.573,16.305,16.063,NA,18.030,18.058
6/28,18.312,17.718,18.843,21.305,17.386,17.306,16.196,15.618,16.574,17.351,16.616,17.434,18.208,17.718,18.502,17.754,17.022,17.581,18.995,16.350,17.900,15.917,16.175,NA,18.313,17.716
6/29,18.570,17.694,18.976,21.443,17.455,17.672,16.245,15.633,16.803,17.650,17.147,17.694,18.191,17.899,18.766,17.925,17.033,17.810,19.254,16.299,18.208,16.075,16.300,NA,17.217,17.493
6/30,18.865,18.085,18.883,21.592,17.627,17.897,16.248,15.663,16.720,17.653,17.315,17.887,18.204,18.460,18.914,18.054,17.333,18.143,19.098,16.394,18.416,16.258,16.604,NA,17.786,17.371
7/1,18.975,18.438,18.839,21.845,17.917,18.070,16.230,15.898,16.746,17.616,17.404,18.073,18.501,18.861,19.193,18.077,17.558,18.201,18.781,16.405,18.262,16.479,17.021,NA,17.496,17.583
7/2,18.734,18.610,19.090,21.979,18.298,18.199,16.139,16.213,16.826,18.283,17.409,18.090,18.840,18.747,19.288,18.011,17.732,18.324,18.566,16.275,17.963,16.929,17.450,NA,17.521,17.696
7/3,18.676,18.720,19.284,22.159,18.255,18.459,16.128,16.292,16.856,18.594,17.581,18.323,19.120,18.554,19.473,17.958,17.686,18.543,18.239,16.229,17.805,17.242,17.517,NA,17.404,17.713
7/4,18.740,18.844,19.254,22.324,18.146,18.416,16.035,16.304,16.817,18.838,17.778,18.734,19.263,18.619,19.479,18.145,17.637,18.871,18.173,16.343,17.924,17.563,17.508,NA,17.400,17.788
7/5,18.926,19.168,19.250,22.545,18.185,18.330,16.113,16.415,16.640,19.143,17.828,19.098,19.223,18.880,19.420,18.346,17.516,18.838,18.266,16.581,18.111,17.829,17.513,NA,17.852,17.758
7/6,19.355,19.544,19.287,22.791,18.485,18.568,16.310,16.652,16.960,18.973,17.930,19.231,19.055,19.101,19.680,18.612,17.662,18.608,18.499,16.117,18.498,18.108,17.675,NA,18.333,17.878
7/7,19.495,19.748,19.527,22.597,18.853,18.983,16.642,16.857,17.413,18.752,18.090,19.242,18.973,19.215,19.663,18.780,17.760,18.625,18.861,16.855,18.972,18.408,18.183,NA,17.793,18.162
7/8,19.703,19.794,19.608,22.560,19.208,19.318,17.153,16.842,17.828,18.590,18.318,19.241,19.303,19.232,19.560,18.832,17.798,18.795,19.011,16.780,19.315,18.592,18.696,NA,18.179,18.488
7/9,19.596,19.937,19.852,22.791,19.410,19.712,17.546,16.863,18.173,18.629,18.658,19.307,19.947,19.029,19.616,18.985,17.821,19.140,18.881,16.829,19.575,18.721,18.604,NA,18.778,18.525
7/10,19.425,19.998,19.908,22.674,19.570,19.873,17.675,17.098,18.362,19.041,18.725,19.814,20.146,19.058,19.629,19.363,17.901,19.493,18.930,17.217,19.649,18.800,18.538,NA,19.061,18.479
7/11,19.587,19.945,19.899,22.380,19.710,19.796,17.802,17.045,18.537,19.347,18.745,20.193,20.193,19.305,19.781,19.537,18.228,19.582,18.865,17.490,19.560,18.867,18.875,NA,19.346,18.442
7/12,19.881,20.019,19.957,22.238,19.995,19.681,18.032,16.949,18.368,19.295,18.766,20.548,20.096,19.763,20.061,19.872,18.600,19.833,18.939,17.737,19.729,19.029,19.358,NA,20.217,18.229
7/13,20.206,20.105,20.105,22.473,20.302,19.630,18.078,17.046,17.980,19.114,19.070,20.707,20.094,19.858,20.477,20.097,18.770,19.972,19.253,17.919,19.925,19.204,19.638,NA,21.217,18.332
7/14,20.357,20.428,20.214,22.620,20.245,20.006,18.213,17.258,18.243,19.163,19.381,20.985,20.418,19.858,20.684,20.207,18.719,19.909,19.356,17.844,20.152,19.408,19.808,NA,20.670,18.304
7/15,20.607,20.557,20.102,22.500,20.680,20.172,18.302,17.484,18.603,19.249,19.633,21.113,20.629,19.995,20.872,20.294,18.751,19.598,19.307,17.908,20.433,19.608,19.896,NA,20.000,18.379
7/16,20.770,20.478,19.993,22.475,21.009,20.343,18.378,17.509,18.958,19.545,19.678,21.065,20.844,20.095,20.953,20.336,18.952,19.075,19.307,18.227,20.762,19.488,19.792,NA,22.344,18.475
7/17,20.907,20.536,20.061,22.398,21.035,20.327,18.693,17.537,19.055,20.139,19.523,21.057,20.653,20.328,21.025,20.409,19.293,18.963,19.535,18.265,21.018,19.150,19.504,NA,23.067,18.671
7/18,20.987,20.629,19.973,22.554,20.721,20.470,18.840,17.454,19.038,20.445,19.373,21.038,20.377,20.617,21.124,20.642,19.705,19.056,19.599,18.287,21.016,18.896,19.225,NA,22.988,18.858
7/19,20.800,20.642,20.078,22.829,20.652,20.633,18.902,17.471,18.979,20.389,19.230,21.091,20.383,20.703,21.057,20.844,19.884,19.246,19.670,18.581,21.021,19.121,19.333,NA,22.063,18.926
7/20,20.474,20.775,20.288,22.872,20.767,20.653,18.949,17.676,19.086,20.372,19.313,21.140,20.554,20.570,21.068,21.036,19.908,19.341,19.850,18.923,21.049,19.554,19.454,NA,22.091,18.770
7/21,20.340,20.927,20.506,22.623,20.738,20.761,18.934,17.735,19.190,20.621,19.596,21.008,20.932,20.686,21.196,21.480,20.089,19.158,20.039,18.978,21.384,19.629,19.683,NA,20.916,18.846
7/22,20.601,21.060,20.458,22.168,20.774,20.782,18.877,17.695,19.476,20.624,19.616,21.144,21.406,20.793,21.286,21.682,20.392,19.242,NA,19.132,21.826,19.646,20.054,20.913,21.529,19.029
7/23,21.020,21.286,20.378,21.864,20.689,20.835,18.856,17.807,19.859,20.641,19.339,21.429,21.692,20.928,21.451,21.428,20.632,19.581,NA,19.071,22.082,19.775,20.342,20.833,22.759,19.142
7/24,21.471,21.401,20.651,21.714,20.294,21.028,19.020,18.148,20.269,20.713,19.200,21.471,22.056,20.906,21.732,21.288,20.801,19.950,NA,18.909,21.950,19.963,20.521,20.817,23.333,19.117
7/25,21.709,21.594,20.965,21.690,20.320,21.205,19.360,18.312,20.498,21.064,19.420,21.380,22.100,20.803,21.868,21.185,20.924,20.252,NA,18.825,21.997,20.075,20.613,20.888,22.222,19.117
7/26,21.830,21.743,20.960,21.448,20.490,21.352,19.644,18.407,20.662,21.209,19.528,21.308,21.883,20.973,21.815,21.060,20.750,20.386,20.454,18.948,22.156,20.204,20.796,20.813,22.222,19.138
7/27,21.795,21.583,21.223,21.301,20.692,21.208,19.439,18.332,20.809,21.636,19.815,21.146,21.906,21.275,21.838,21.168,20.447,20.367,20.550,19.231,22.446,20.496,20.904,21.033,22.461,19.350
7/28,21.775,21.604,21.666,21.538,20.918,20.857,19.318,18.455,20.860,22.343,20.006,21.378,21.689,21.515,22.115,21.663,20.242,20.414,20.679,19.652,22.700,20.775,20.788,21.471,23.200,19.471
7/29,21.984,21.516,21.783,21.864,21.128,20.759,19.381,18.737,20.690,22.596,19.975,21.345,21.494,21.583,22.029,22.057,20.339,20.273,20.979,19.766,22.848,21.013,20.854,21.267,22.222,19.433
7/30,22.304,21.405,21.713,22.116,21.280,20.797,19.310,19.075,20.581,22.860,19.855,21.147,21.343,21.770,22.069,22.373,20.685,20.088,21.318,19.690,22.554,20.933,20.925,21.183,23.603,19.475
7/31,22.416,21.626,21.369,22.332,21.405,21.078,19.243,19.232,20.555,23.142,19.795,21.122,21.175,21.901,22.141,22.473,20.708,20.098,21.566,19.710,22.492,20.879,20.746,21.404,22.100,19.729
8/1,22.436,21.964,21.155,22.409,21.460,21.130,19.254,19.360,20.617,23.218,19.650,21.289,21.234,21.776,22.088,22.171,20.730,20.056,21.553,19.777,22.149,20.925,20.865,21.513,23.165,19.941
8/2,22.301,22.238,20.859,22.228,21.517,21.021,19.339,19.512,20.779,23.488,19.594,21.701,21.170,21.685,22.074,22.022,20.565,20.166,21.435,19.965,22.066,21.013,20.558,21.796,22.600,20.263
8/3,21.996,22.480,20.897,21.956,21.619,21.026,19.598,19.689,20.827,23.330,19.616,21.753,21.145,21.683,21.865,21.878,20.448,20.264,21.286,20.155,22.313,21.163,20.346,22.517,24.482,20.663
8/4,21.846,22.688,21.423,21.631,21.877,21.290,19.896,19.927,21.008,23.005,19.815,21.622,21.055,21.779,22.054,21.782,20.366,20.155,21.395,20.416,22.583,21.433,20.079,22.525,21.059,21.017
8/5,21.960,22.664,21.862,21.315,21.688,21.610,20.240,19.964,21.438,22.545,20.144,21.495,21.145,22.017,22.111,21.874,20.135,20.215,21.708,20.782,22.803,21.671,19.863,22.279,19.107,21.304
8/6,22.148,22.594,21.478,21.178,21.420,21.997,20.555,19.968,21.558,22.033,20.301,21.265,21.548,22.193,22.043,21.885,20.185,20.589,21.907,20.822,22.766,21.933,19.967,22.029,20.536,21.417
8/7,22.380,22.650,21.388,21.193,21.388,22.184,20.755,19.950,21.439,21.416,20.538,20.975,21.653,22.133,21.818,21.974,20.060,21.004,21.918,20.861,22.351,21.900,20.442,21.588,22.222,21.436
8/8,22.755,22.684,21.261,21.540,21.112,21.949,20.677,19.982,21.511,20.995,20.606,20.820,21.324,22.107,21.973,22.288,20.171,21.300,21.814,20.865,22.053,21.921,20.829,21.483,19.615,21.204
8/9,22.920,22.838,20.945,21.782,21.173,21.771,20.575,19.963,21.371,21.053,20.593,20.843,21.180,21.996,21.974,22.290,20.357,21.375,21.821,21.036,22.102,21.788,21.138,21.958,18.600,21.042
8/10,22.925,23.028,20.871,22.150,21.518,21.747,20.520,19.823,20.924,21.280,20.418,20.758,21.265,21.722,22.430,22.149,20.610,21.714,21.669,21.232,22.116,22.129,21.171,22.113,NA,20.892
8/11,22.668,23.077,21.166,22.166,21.901,21.735,20.653,19.859,20.930,21.495,20.510,20.850,20.937,21.567,22.750,22.145,20.650,21.869,21.405,21.102,22.400,22.433,20.946,21.713,20.863,20.787
8/12,22.367,22.869,21.500,22.192,22.285,21.767,21.026,20.026,21.149,21.743,20.715,20.745,20.746,21.421,23.045,22.108,20.693,21.802,21.202,20.889,22.755,22.621,20.708,22.404,22.621,20.779
8/13,22.193,22.653,21.754,22.150,22.342,21.821,21.285,20.162,21.295,21.825,20.682,20.723,20.996,21.416,23.182,22.023,20.710,21.845,21.040,20.725,23.051,22.754,20.733,21.429,19.913,20.818
8/14,22.043,22.333,21.905,21.957,22.327,21.832,21.390,20.107,21.546,21.572,20.893,21.009,21.244,21.697,23.053,21.956,20.778,21.928,20.780,20.379,23.254,22.758,20.829,22.808,20.153,20.549
8/15,22.173,22.036,21.879,21.802,22.239,21.872,21.478,20.075,21.938,21.143,21.264,21.220,21.182,22.036,22.863,22.009,20.890,21.939,20.661,20.316,23.022,22.413,20.808,20.892,22.222,20.408
8/16,22.349,21.856,21.795,21.742,22.133,21.988,21.616,20.076,22.261,20.825,21.525,21.135,20.825,22.048,22.671,21.847,20.897,21.754,20.593,20.378,22.600,22.275,20.733,20.313,22.222,20.338
8/17,21.974,21.841,21.637,21.802,22.193,22.100,21.841,20.160,22.493,20.892,21.791,21.099,20.643,21.690,22.603,21.794,20.945,21.663,20.553,20.525,22.272,22.467,20.425,20.054,22.222,20.300
8/18,21.756,21.860,21.575,21.916,22.512,22.110,21.860,20.154,22.291,21.067,21.691,21.089,20.761,21.702,22.515,21.984,20.791,21.607,20.395,20.554,21.959,22.379,20.058,19.908,22.222,20.517
8/19,21.830,21.729,21.684,22.150,22.700,22.117,21.611,20.290,21.867,21.329,21.545,20.818,20.937,21.835,22.547,22.030,20.721,21.393,20.317,20.423,21.755,22.425,20.100,20.088,22.222,21.042
8/20,21.956,21.652,21.880,22.211,22.428,21.990,21.442,20.513,21.458,21.569,21.381,20.570,21.230,21.681,22.615,21.694,20.546,21.330,20.180,20.435,21.843,22.333,20.029,20.379,22.222,21.075
8/21,21.842,21.640,22.067,21.729,22.007,21.888,21.247,20.715,21.052,21.673,21.105,20.697,21.433,21.755,22.691,21.955,20.178,21.078,20.275,20.254,21.895,22.054,20.233,20.479,21.667,20.950
8/22,22.075,21.762,21.823,21.373,21.674,21.879,20.905,20.762,20.460,21.583,20.748,20.900,21.222,21.653,22.660,21.946,20.144,21.037,20.300,20.203,21.840,22.250,20.463,20.500,21.667,20.979
8/23,22.020,21.921,21.695,21.125,21.633,21.850,20.663,20.833,20.329,21.278,20.896,20.979,20.984,21.323,22.299,21.395,20.273,21.029,20.578,20.322,21.714,22.258,20.558,20.317,21.667,20.960
8/24,21.502,21.743,21.892,21.042,21.897,21.887,20.341,21.066,20.371,21.049,21.304,21.146,20.777,21.190,22.013,21.456,20.578,21.253,20.644,20.480,21.411,22.346,20.733,20.071,21.667,20.629
8/25,21.102,21.650,22.046,21.019,22.097,21.895,20.337,21.178,20.743,20.686,21.233,21.190,20.623,21.083,21.591,21.588,20.729,21.426,20.609,20.646,21.445,22.404,20.808,19.929,21.667,20.329
8/26,20.730,21.660,21.975,21.056,22.411,21.755,20.433,21.266,20.900,20.626,21.088,21.045,20.848,21.108,21.535,21.630,20.699,21.621,20.489,20.790,21.290,22.700,20.746,19.867,21.667,20.054
8/27,20.507,21.607,22.202,21.310,22.521,21.728,20.413,21.446,20.703,20.758,20.936,20.830,21.205,21.205,21.503,21.540,20.647,21.859,20.254,20.852,21.092,22.422,20.433,19.742,21.111,20.150
8/28,20.612,21.663,22.121,21.379,22.390,21.939,20.453,21.481,20.715,20.858,20.736,20.702,21.541,21.232,21.698,21.513,20.947,21.788,20.105,20.939,21.310,22.621,20.252,19.867,21.111,20.013
8/29,20.878,21.990,22.042,21.391,22.288,22.061,20.366,21.233,20.411,20.924,20.718,20.613,21.409,21.078,21.663,21.640,21.012,21.868,19.984,20.868,21.504,22.117,20.438,19.858,21.111,19.918
8/30,20.818,21.943,21.823,21.167,22.048,22.213,20.321,20.930,20.181,20.917,20.649,20.849,20.890,20.882,21.721,21.742,20.800,21.927,20.051,20.496,21.520,22.117,20.575,19.950,21.111,20.017
8/31,20.670,21.777,21.569,21.000,21.580,22.306,20.123,20.434,19.787,21.190,20.110,21.186,20.617,20.830,21.762,21.643,20.600,21.745,20.064,20.070,21.719,22.083,20.583,20.233,21.111,20.167
9/1,15.226,21.812,21.231,20.888,21.353,22.385,19.868,20.099,19.470,21.215,19.737,21.202,20.289,20.980,21.563,21.451,20.538,21.511,19.932,20.041,21.897,22.042,20.542,20.308,21.041,20.312
9/2,15.683,21.848,21.098,20.759,21.333,22.300,19.726,20.122,19.465,21.061,19.528,21.305,19.936,20.925,20.839,21.419,20.607,21.352,19.805,20.046,21.853,22.171,20.321,20.546,20.783,20.392
