"doyz","transport","year","n","I(doyz^2)","doyz:transport","I(doyz^2):transport ",".row","SAR","SAR.lo","SAR.hi",".width",".point",".interval","doy","date","TI","TI.lo","TI.hi","sar.pit","rear_type","covariate","species"
-2.46352048150792,"0","1993",270,6.068933162809,0,0,1,0.00579088030543756,0.00230906448478554,0.41189671629342,0.95,"median","qi",90,1993-03-31,NA,0.606340062730117,0.682984253376221,NA,"W","DOY","Ch"
-2.46352048150792,"0","1994",270,6.068933162809,0,0,2,0.00700500664556667,0.000891728187999872,0.0414019165239489,0.95,"median","qi",90,1994-03-31,NA,0.32129699481535,1.29234179547444,NA,"W","DOY","Ch"
-2.46352048150792,"0","1995",270,6.068933162809,0,0,3,0.00695517339475334,0.00332155733556456,0.0110725713200863,0.95,"median","qi",90,1995-03-31,NA,0.554566348103836,0.75161173656762,NA,"W","DOY","Ch"
-2.46352048150792,"0","1996",270,6.068933162809,0,0,4,0.0044260278036857,0.00179269828675533,0.0101078829553872,0.95,"median","qi",90,1996-03-30,NA,0.834281935075875,0.77578469402984,NA,"W","DOY","Ch"
-2.46352048150792,"0","1997",270,6.068933162809,0,0,5,0.00874591034490002,0.00225483986428406,0.0521008431149613,0.95,"median","qi",90,1997-03-31,NA,0.527328162779538,0.477795485094495,NA,"W","DOY","Ch"
-2.46352048150792,"0","1998",270,6.068933162809,0,0,6,0.0686466070547415,0.0393273872562222,0.11749887462726,0.95,"median","qi",90,1998-03-31,NA,0.556113472791102,0.565461751026696,NA,"W","DOY","Ch"
-2.46352048150792,"0","1999",270,6.068933162809,0,0,7,0.00784536069437502,0.00508738160316841,0.0105974318272094,0.95,"median","qi",90,1999-03-31,NA,0.574124412224446,0.534217999386945,0.00884955752212389,"W","DOY","Ch"
-2.46352048150792,"0","2000",270,6.068933162809,0,0,8,0.0200618909057749,0.016873600180278,0.0302917687845814,0.95,"median","qi",90,2000-03-30,NA,0.266630852380539,1.06858148453598,NA,"W","DOY","Ch"
-2.46352048150792,"0","2001",270,6.068933162809,0,0,9,0.00766556996545338,0.0039616671403651,0.026380616241379,0.95,"median","qi",90,2001-03-31,NA,0.885614800729148,0.655088174973188,NA,"W","DOY","Ch"
-2.46352048150792,"0","2002",270,6.068933162809,0,0,10,0.0104865882277029,0.00406224268283084,0.0164504073936108,0.95,"median","qi",90,2002-03-31,NA,0.437911399718798,0.655730030729136,NA,"W","DOY","Ch"
-2.46352048150792,"0","2003",270,6.068933162809,0,0,11,0.00147616856413023,0.000639277557054973,0.00649748505651733,0.95,"median","qi",90,2003-03-31,NA,0.662988187183461,1.02144153338534,NA,"W","DOY","Ch"
-2.46352048150792,"0","2004",270,6.068933162809,0,0,12,0.0219110576526747,0.00422986155492644,0.0483496504773095,0.95,"median","qi",90,2004-03-30,NA,0.958181049827047,0.826733332787004,NA,"W","DOY","Ch"
-2.46352048150792,"0","2005",270,6.068933162809,0,0,13,0.00512050868632619,0.00218936277530225,0.0127257183932363,0.95,"median","qi",90,2005-03-31,NA,0.494354480931722,0.515060401265188,NA,"W","DOY","Ch"
-2.46352048150792,"0","2006",270,6.068933162809,0,0,14,0.00193666646301198,0.000437817252358536,0.00430358262238712,0.95,"median","qi",90,2006-03-31,NA,0.28427924765004,0.329835021610446,NA,"W","DOY","Ch"
-2.46352048150792,"0","2007",270,6.068933162809,0,0,15,0.0114133786639945,0.00842540093001465,0.0215737092927484,0.95,"median","qi",90,2007-03-31,NA,0.440053453463409,0.503338741150438,NA,"W","DOY","Ch"
-2.46352048150792,"0","2008",270,6.068933162809,0,0,16,0.0522439927043806,0.0452276540277934,0.0674370682541782,0.95,"median","qi",90,2008-03-30,NA,0.407764584559199,0.47992617509312,NA,"W","DOY","Ch"
-2.46352048150792,"0","2009",270,6.068933162809,0,0,17,0.0311622384005969,0.0274179940505837,0.0426266242877001,0.95,"median","qi",90,2009-03-31,NA,0.695312443491593,0.771197328014826,NA,"W","DOY","Ch"
-2.46352048150792,"0","2010",270,6.068933162809,0,0,18,0.0304439111911432,0.00733177483704393,0.0966517038548604,0.95,"median","qi",90,2010-03-31,NA,0.520394929149218,0.546374972268097,NA,"W","DOY","Ch"
-2.46352048150792,"0","2011",270,6.068933162809,0,0,19,0.004946515421217,0.0026471343436377,0.010953903117058,0.95,"median","qi",90,2011-03-31,NA,0.569673029703338,0.559939851775134,NA,"W","DOY","Ch"
-2.46352048150792,"0","2012",270,6.068933162809,0,0,20,0.0507289459935616,0.0277675245610455,0.0715200544592973,0.95,"median","qi",90,2012-03-30,NA,0.305841180828563,0.39045267001138,NA,"W","DOY","Ch"
-2.46352048150792,"0","2013",270,6.068933162809,0,0,21,0.009752881247921,0.00455926598209271,0.242270395308828,0.95,"median","qi",90,2013-03-31,NA,0.566652478503909,0.658563529406037,NA,"W","DOY","Ch"
-2.46352048150792,"0","2014",270,6.068933162809,0,0,22,0.0173841845011593,0.0076576046165252,0.0391900328186748,0.95,"median","qi",90,2014-03-31,NA,0.45034677357345,0.616652142587403,NA,"W","DOY","Ch"
-2.46352048150792,"0","2015",270,6.068933162809,0,0,23,0.00396292619416689,0.000717780408382437,0.0140800909410999,0.95,"median","qi",90,2015-03-31,NA,1.23648436252984,0.583487067638827,NA,"W","DOY","Ch"
-2.46352048150792,"0","2016",270,6.068933162809,0,0,24,0.00776267905519428,0.00364918632893669,0.0349651633791131,0.95,"median","qi",90,2016-03-30,NA,1.37107772525126,0.87766068953142,NA,"W","DOY","Ch"
